CellID, metadata_position,area,global_x_pos,global_y_pos
0,NaN,NaN,NaN,NaN
1,1,703,1.885861e+02,8.497866e+00
2,1,1075,3.125963e+02,1.230884e+01
3,1,330,5.390485e+02,4.884848e+00
4,1,1088,1.889237e+03,1.107353e+01
5,1,1899,7.589784e+01,1.619958e+01
7,1,1729,1.529807e+03,1.518681e+01
10,1,2204,6.393403e+02,1.779628e+01
11,1,702,5.138504e+02,1.151425e+01
12,1,883,5.598686e+02,1.571687e+01
14,1,1199,4.697331e+02,1.798332e+01
16,1,570,4.989737e+02,1.976842e+01
18,1,1608,5.963812e+02,2.499751e+01
19,1,1912,7.906705e+02,1.873431e+01
20,1,880,1.672045e+02,1.719545e+01
23,1,947,1.583083e+02,3.388384e+01
24,1,2245,1.049506e+03,2.758530e+01
25,1,1267,1.121315e+03,2.036069e+01
26,1,1901,2.430331e+02,3.152183e+01
27,1,1984,9.078049e+02,2.648589e+01
28,1,1100,1.439218e+03,3.378364e+01
30,1,607,1.460359e+03,3.062768e+01
34,1,1255,7.750685e+02,4.433625e+01
36,1,1229,1.094579e+03,4.830431e+01
37,1,1311,1.289550e+02,3.279558e+01
38,1,1315,1.381934e+03,4.481977e+01
39,1,637,5.345024e+02,4.467033e+01
41,1,1487,1.168917e+03,4.757364e+01
42,1,1155,4.528303e+02,4.680693e+01
44,1,1261,1.240270e+02,5.709278e+01
45,1,1953,3.218044e+02,5.464619e+01
46,1,1938,1.123722e+03,7.007998e+01
47,1,1490,1.337310e+03,6.052013e+01
49,1,1391,4.732150e+02,7.283249e+01
51,1,1062,5.187552e+02,6.959510e+01
52,1,1703,6.950323e+01,6.579037e+01
53,1,841,5.551427e+02,7.287158e+01
55,1,1825,1.866613e+03,6.713753e+01
56,1,1750,4.230034e+02,6.523314e+01
57,1,1044,1.186951e+03,7.233812e+01
58,1,1993,1.216881e+03,7.352735e+01
61,1,1850,8.963032e+02,7.221405e+01
62,1,2025,3.155901e+01,7.114123e+01
63,1,2443,1.863565e+02,6.917233e+01
65,1,2566,7.879754e+02,7.791076e+01
67,1,1321,5.379039e+02,9.536639e+01
68,1,1399,3.137098e+02,8.473981e+01
69,1,2393,1.501640e+03,8.159841e+01
70,1,2549,1.264630e+03,9.028403e+01
72,1,2423,8.488894e+02,9.500041e+01
73,1,2925,6.858106e+02,8.377231e+01
74,1,1534,9.353611e+02,8.467862e+01
76,1,1012,1.161122e+03,8.839921e+01
77,1,2064,1.391827e+03,9.298643e+01
78,1,1458,2.595117e+02,1.000336e+02
80,1,2115,4.278340e+02,1.044279e+02
85,1,1277,284,1.166766e+02
88,1,1396,8.947915e+02,1.156218e+02
89,1,1668,1.859550e+02,1.137944e+02
91,1,2080,1.511989e+03,1.238639e+02
92,1,1694,1.426571e+03,1.268264e+02
93,1,1212,3.204975e+02,1.157599e+02
94,1,1349,7.085300e+02,1.191987e+02
95,1,1980,7.859924e+02,1.213551e+02
97,1,1987,6.177620e+02,1.231595e+02
98,1,1735,6.588202e+02,1.245308e+02
99,1,1114,1.147215e+03,1.357711e+02
100,1,1361,4.727303e+02,1.374475e+02
101,1,1432,1.259434e+02,1.315307e+02
103,1,2022,7.414075e+02,1.342349e+02
105,1,2215,1.592414e+03,1.374135e+02
107,1,2027,1.686955e+03,1.468130e+02
108,1,1637,1.596536e+02,1.459713e+02
110,1,2486,3.850708e+02,1.521838e+02
111,1,899,6.978765e+02,1.459911e+02
112,1,1417,1.647552e+03,1.428758e+02
113,1,1227,3.007221e+02,1.502388e+02
114,1,1832,1.250100e+03,1.480568e+02
116,1,830,1.185120e+03,1.491265e+02
117,1,1840,1.298623e+03,1.472380e+02
118,1,2668,1.012926e+03,1.502084e+02
119,1,1709,8.121849e+02,1.569304e+02
120,1,2146,8.761934e+02,1.542870e+02
121,1,1608,4.968414e+02,1.583881e+02
122,1,2161,6.067247e+02,1.631379e+02
123,1,961,6.709438e+02,1.585140e+02
124,1,1552,1.162030e+03,1.683441e+02
126,1,1840,1.174033e+02,1.653293e+02
127,1,1843,1.621856e+03,1.687406e+02
128,1,1462,7.711224e+02,1.640116e+02
129,1,2279,1.811296e+03,1.682558e+02
130,1,1200,1.061773e+03,1.651133e+02
131,1,2285,1.923225e+02,1.769689e+02
132,1,1670,1.361212e+03,1.779251e+02
133,1,1651,7.008988e+02,1.839376e+02
135,1,1914,1.104634e+03,1.750967e+02
136,1,1142,1.209097e+03,1.716629e+02
138,1,1197,9.452590e+02,1.734662e+02
140,1,1713,7.358984e+02,1.863234e+02
141,1,1308,1.287959e+03,1.939778e+02
143,1,1421,8.754609e+01,1.822759e+02
