CellID,metadata_position,area,global_x_pos,global_y_pos
1,1,703,1.885861e+02,8.497866e+00
2,1,1075,3.125963e+02,1.230884e+01
3,1,330,5.390485e+02,4.884848e+00
4,1,1088,1.889237e+03,1.107353e+01
5,1,1899,7.589784e+01,1.619958e+01
6,1,1602,1.939887e+03,1.490449e+01
7,1,1729,1.529807e+03,1.518681e+01
8,1,1216,1.329597e+03,1.630921e+01
9,1,1236,2.716853e+02,1.348463e+01
10,1,2204,6.393403e+02,1.779628e+01
11,1,702,5.138504e+02,1.151425e+01
12,1,883,5.598686e+02,1.571687e+01
13,1,1178,1.085413e+03,1.447029e+01
14,1,1199,4.697331e+02,1.798332e+01
15,1,2022,3.559149e+02,2.143126e+01
16,1,570,4.989737e+02,1.976842e+01
17,1,1174,1.361557e+03,1.814566e+01
18,1,1608,5.963812e+02,2.499751e+01
19,1,1912,7.906705e+02,1.873431e+01
20,1,880,1.672045e+02,1.719545e+01
21,1,1418,1.411895e+03,2.531241e+01
22,1,1527,8.735449e+02,2.489653e+01
23,1,947,1.583083e+02,3.388384e+01
24,1,2245,1.049506e+03,2.758530e+01
25,1,1267,1.121315e+03,2.036069e+01
26,1,1901,2.430331e+02,3.152183e+01
27,1,1984,9.078049e+02,2.648589e+01
28,1,1100,1.439218e+03,3.378364e+01
29,1,614,5.453290e+02,3.041042e+01
30,1,607,1.460359e+03,3.062768e+01
31,1,936,1.147726e+03,3.088889e+01
32,1,1445,1.478455e+03,4.067474e+01
33,1,1093,4.979314e+02,4.436871e+01
34,1,1255,7.750685e+02,4.433625e+01
35,1,1745,9.658619e+02,4.161433e+01
36,1,1229,1.094579e+03,4.830431e+01
37,1,1311,1.289550e+02,3.279558e+01
38,1,1315,1.381934e+03,4.481977e+01
39,1,637,5.345024e+02,4.467033e+01
40,1,1124,5.725881e+02,5.318950e+01
41,1,1487,1.168917e+03,4.757364e+01
42,1,1155,4.528303e+02,4.680693e+01
43,1,1653,1.029348e+03,5.891531e+01
44,1,1261,1.240270e+02,5.709278e+01
45,1,1953,3.218044e+02,5.464619e+01
46,1,1938,1.123722e+03,7.007998e+01
47,1,1490,1.337310e+03,6.052013e+01
48,1,2294,1.593299e+03,6.749782e+01
49,1,1391,4.732150e+02,7.283249e+01
50,1,930,3.631914e+02,6.138602e+01
51,1,1062,5.187552e+02,6.959510e+01
52,1,1703,6.950323e+01,6.579037e+01
53,1,841,5.551427e+02,7.287158e+01
54,1,587,1.360603e+03,6.684327e+01
55,1,1825,1.866613e+03,6.713753e+01
56,1,1750,4.230034e+02,6.523314e+01
57,1,1044,1.186951e+03,7.233812e+01
58,1,1993,1.216881e+03,7.352735e+01
59,1,1485,2.615003e+02,6.805657e+01
60,1,1217,1.221849e+02,8.063928e+01
61,1,1850,8.963032e+02,7.221405e+01
62,1,2025,3.155901e+01,7.114123e+01
63,1,2443,1.863565e+02,6.917233e+01
